branch	go_direction	native	name	term_selected_gene_count	rss_gene_count	example_rss_genes	rss_fraction_of_term_genes	generic_label_filtered
cKO/CRE	up	GO:0023056	positive regulation of signaling	102	7	Ankrd1, Cckbr, Grp, Il6, Plaur, Slamf1, Ucn	0.06862745098039216	False
WT/FF	up	GO:0070887	cellular response to chemical stimulus	103	7	Ankrd1, Cited2, Clca1, Grp, Il6, Serpine1, Slamf1	0.06796116504854369	False
WT/FF	up	GO:0006915	apoptotic process	109	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	0.06422018348623854	False
WT/FF	up	GO:0008219	cell death	111	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	0.06306306306306306	False
WT/FF	up	GO:0012501	programmed cell death	111	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	0.06306306306306306	False
WT/FF	up	GO:0010605	negative regulation of macromolecule metabolic process	114	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.06140350877192982	False
cKO/CRE	up	GO:0071705	nitrogen compound transport	117	7	Ankrd1, Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf	0.05982905982905983	False
WT/FF	up	GO:0009892	negative regulation of metabolic process	123	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.056910569105691054	False
cKO/CRE	up	GO:0070887	cellular response to chemical stimulus	123	7	Ankrd1, Clca1, ENSMUSG00000030223, Grp, Il6, Serpine1, Slamf1	0.056910569105691054	False
WT/FF	up	GO:0007399	nervous system development	128	7	Ankrd1, Cited2, Hmx3, Il6, Plppr4, Satb2, Ucn	0.0546875	False
cKO/CRE	up	GO:0006915	apoptotic process	133	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn	0.05263157894736842	False
cKO/CRE	up	GO:0008219	cell death	136	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn	0.051470588235294115	False
cKO/CRE	up	GO:0012501	programmed cell death	136	7	Ankrd1, ENSMUSG00000025279, Grp, Il6, Plaur, Serpine1, Ucn	0.051470588235294115	False
cKO/CRE	up	GO:0048468	cell development	171	7	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Il6, Plppr4, Slamf1, Ucn	0.04093567251461988	False
WT/FF	up	GO:0019538	protein metabolic process	181	7	Clca1, Dusp9, Ecel1, Il6, Plaur, Serpine1, Ucn	0.03867403314917127	False
cKO/CRE	up	GO:0051641	cellular localization	191	7	Ankrd1, ENSMUSG00000038115, ENSMUSG00000051209, Gpr151, Grp, Il6, Vgf	0.03664921465968586	False
cKO/CRE	up	GO:0009914	hormone transport	29	6	Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf	0.20689655172413793	False
WT/FF	up	GO:0023061	signal release	37	6	Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	0.16216216216216217	False
cKO/CRE	up	GO:0010817	regulation of hormone levels	39	6	Cckbr, ENSMUSG00000051209, Grp, Il6, Ucn, Vgf	0.15384615384615385	False
WT/FF	up	GO:0007610	behavior	40	6	Adm2, Cckbr, Grp, Il6, Rin1, Ucn	0.15	False
WT/FF	up	GO:1903530	regulation of secretion by cell	40	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	0.15	False
cKO/CRE	up	GO:0009611	response to wounding	40	6	ENSMUSG00000061947, Il6, Krt6a, Plaur, Procr, Serpine1	0.15	False
WT/FF	up	GO:0051046	regulation of secretion	41	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	0.14634146341463414	False
cKO/CRE	up	GO:1903530	regulation of secretion by cell	45	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	0.13333333333333333	False
cKO/CRE	up	GO:0007610	behavior	46	6	Adm2, Cckbr, Grp, Il6, Rin1, Ucn	0.13043478260869565	False
cKO/CRE	up	GO:0030855	epithelial cell differentiation	46	6	2210017I01Rik, ENSMUSG00000030223, Krt6a, Lce1g, Plaur, Serpine1	0.13043478260869565	False
cKO/CRE	up	GO:0051046	regulation of secretion	46	6	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn	0.13043478260869565	False
WT/FF	up	GO:0009887	animal organ morphogenesis	50	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Serpine1	0.12	False
WT/FF	up	GO:0072359	circulatory system development	56	6	Adm2, Ankrd1, Ccn4, Cited2, Fgf3, Serpine1	0.10714285714285714	False
WT/FF	up	GO:0051050	positive regulation of transport	58	6	Ankrd1, Cckbr, Grp, Il6, Serpine1, Ucn	0.10344827586206896	False
WT/FF	up	GO:0009628	response to abiotic stimulus	59	6	Ankrd1, Cited2, Clca1, Gpr151, Ucn, Vgf	0.1016949152542373	False
WT/FF	up	GO:0007155	cell adhesion	64	6	Ccn4, Cited2, Il6, Plaur, Serpine1, Slamf1	0.09375	False
WT/FF	up	GO:0010628	positive regulation of gene expression	66	6	Adm2, Cited2, Il6, Serpine1, Slamf1, Ucn	0.09090909090909091	False
cKO/CRE	up	GO:0051050	positive regulation of transport	69	6	Ankrd1, Cckbr, Grp, Il6, Serpine1, Ucn	0.08695652173913043	False
WT/FF	up	GO:0006955	immune response	79	6	Bpifc, Grp, Il6, Krt6a, Sectm1b, Slamf1	0.0759493670886076	False
WT/FF	up	GO:0042127	regulation of cell population proliferation	82	6	Cckbr, Ccn4, Cited2, Fgf3, Il6, Slamf1	0.07317073170731707	False
WT/FF	up	GO:0009968	negative regulation of signal transduction	84	6	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b	0.07142857142857142	False
WT/FF	up	GO:0071705	nitrogen compound transport	88	6	Ankrd1, Cckbr, Grp, Il6, Ucn, Vgf	0.06818181818181818	False
WT/FF	up	GO:0016477	cell migration	89	6	Ccn4, Cited2, Satb2, Serpine1, Slamf1, Zpld2	0.06741573033707865	False
WT/FF	up	GO:0009719	response to endogenous stimulus	90	6	Ankrd1, Cited2, Fgf3, Il6, Ucn, Vgf	0.06666666666666667	False
WT/FF	up	GO:0048870	cell motility	90	6	Ccn4, Cited2, Satb2, Serpine1, Slamf1, Zpld2	0.06666666666666667	False
cKO/CRE	up	GO:0009967	positive regulation of signal transduction	90	6	Ankrd1, Grp, Il6, Plaur, Slamf1, Ucn	0.06666666666666667	False
WT/FF	up	GO:0008283	cell population proliferation	100	6	Cckbr, Ccn4, Cited2, Fgf3, Il6, Slamf1	0.06	False
cKO/CRE	up	GO:0042981	regulation of apoptotic process	105	6	Ankrd1, Grp, Il6, Plaur, Serpine1, Ucn	0.05714285714285714	False
cKO/CRE	up	GO:0043067	regulation of programmed cell death	107	6	Ankrd1, Grp, Il6, Plaur, Serpine1, Ucn	0.056074766355140186	False
cKO/CRE	up	GO:1902531	regulation of intracellular signal transduction	107	6	Ankrd1, Dusp9, Il6, Plaur, Slamf1, Ucn	0.056074766355140186	False
WT/FF	up	GO:0006357	regulation of transcription by RNA polymerase II	108	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	0.05555555555555555	False
WT/FF	up	GO:0006366	transcription by RNA polymerase II	108	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	0.05555555555555555	False
WT/FF	up	GO:0006355	regulation of DNA-templated transcription	124	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	0.04838709677419355	False
WT/FF	up	GO:2001141	regulation of RNA biosynthetic process	125	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	0.048	False
WT/FF	up	GO:0006351	DNA-templated transcription	126	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	0.047619047619047616	False
WT/FF	up	GO:0050793	regulation of developmental process	126	6	Adm2, Ccn4, Cited2, Fgf3, Il6, Serpine1	0.047619047619047616	False
WT/FF	up	GO:0051252	regulation of RNA metabolic process	133	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	0.045112781954887216	False
cKO/CRE	up	GO:0010605	negative regulation of macromolecule metabolic process	138	6	Ankrd1, ENSMUSG00000030223, Il6, Serpine1, Slamf1, Ucn	0.043478260869565216	False
cKO/CRE	up	GO:0010557	positive regulation of macromolecule biosynthetic process	142	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	0.04225352112676056	False
cKO/CRE	up	GO:0009891	positive regulation of biosynthetic process	145	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	0.041379310344827586	False
WT/FF	up	GO:0019219	regulation of nucleobase-containing compound metabolic process	146	6	Ankrd1, Cited2, Hmx3, Il6, Satb2, Ucn	0.0410958904109589	False
cKO/CRE	up	GO:0009892	negative regulation of metabolic process	148	6	Ankrd1, ENSMUSG00000030223, Il6, Serpine1, Slamf1, Ucn	0.04054054054054054	False
cKO/CRE	up	GO:0033036	macromolecule localization	173	6	Ankrd1, ENSMUSG00000051209, Il6, Plppr4, Slc10a6, Vgf	0.03468208092485549	False
cKO/CRE	up	GO:0010604	positive regulation of macromolecule metabolic process	179	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	0.0335195530726257	False
cKO/CRE	up	GO:0009893	positive regulation of metabolic process	195	6	Adm2, Ankrd1, Il6, Serpine1, Slamf1, Ucn	0.03076923076923077	False
cKO/CRE	up	GO:0080090	regulation of primary metabolic process	251	6	Ankrd1, ENSMUSG00000030223, Il6, Plaur, Serpine1, Ucn	0.02390438247011952	False
WT/FF	up	GO:0002790	peptide secretion	21	5	Cckbr, Grp, Il6, Ucn, Vgf	0.23809523809523808	False
WT/FF	up	GO:0046879	hormone secretion	25	5	Cckbr, Grp, Il6, Ucn, Vgf	0.2	False
WT/FF	up	GO:0009914	hormone transport	27	5	Cckbr, Grp, Il6, Ucn, Vgf	0.18518518518518517	False
WT/FF	up	GO:0031349	positive regulation of defense response	29	5	Cckbr, Ccn4, Grp, Serpine1, Ucn	0.1724137931034483	False
WT/FF	up	GO:0010817	regulation of hormone levels	34	5	Cckbr, Grp, Il6, Ucn, Vgf	0.14705882352941177	False
WT/FF	up	GO:0030855	epithelial cell differentiation	39	5	2210017I01Rik, Krt6a, Lce1g, Plaur, Serpine1	0.1282051282051282	False
WT/FF	up	GO:0061061	muscle structure development	39	5	Ankrd1, Ccn4, Cited2, Fgf3, Il6	0.1282051282051282	False
WT/FF	up	GO:0030155	regulation of cell adhesion	43	5	Cited2, Il6, Plaur, Serpine1, Slamf1	0.11627906976744186	False
WT/FF	up	GO:0031347	regulation of defense response	46	5	Cckbr, Ccn4, Grp, Serpine1, Ucn	0.10869565217391304	False
WT/FF	up	GO:0001816	cytokine production	47	5	Ccn4, Il6, Serpine1, Slamf1, Ucn	0.10638297872340426	False
WT/FF	up	GO:0001817	regulation of cytokine production	47	5	Ccn4, Il6, Serpine1, Slamf1, Ucn	0.10638297872340426	False
WT/FF	up	GO:0008284	positive regulation of cell population proliferation	48	5	Cckbr, Ccn4, Fgf3, Il6, Slamf1	0.10416666666666667	False
WT/FF	up	GO:0051093	negative regulation of developmental process	55	5	Ccn4, Cited2, Fgf3, Il6, Serpine1	0.09090909090909091	False
WT/FF	up	GO:1902533	positive regulation of intracellular signal transduction	56	5	Ankrd1, Cited2, Il6, Slamf1, Ucn	0.08928571428571429	False
cKO/CRE	up	GO:0031347	regulation of defense response	58	5	Cckbr, ENSMUSG00000025279, Grp, Serpine1, Ucn	0.08620689655172414	False
WT/FF	up	GO:0043066	negative regulation of apoptotic process	64	5	Cited2, Il6, Plaur, Serpine1, Ucn	0.078125	False
WT/FF	up	GO:0043069	negative regulation of programmed cell death	66	5	Cited2, Il6, Plaur, Serpine1, Ucn	0.07575757575757576	False
cKO/CRE	up	GO:0009628	response to abiotic stimulus	67	5	Ankrd1, Clca1, Gpr151, Ucn, Vgf	0.07462686567164178	False
WT/FF	up	GO:0042592	homeostatic process	68	5	Cckbr, Ccn4, Cited2, Il6, Vgf	0.07352941176470588	False
WT/FF	up	GO:0016192	vesicle-mediated transport	70	5	Gpr151, Grp, Rin1, Serpine1, Slamf1	0.07142857142857142	False
cKO/CRE	up	GO:0010628	positive regulation of gene expression	74	5	Adm2, Il6, Serpine1, Slamf1, Ucn	0.06756756756756757	False
cKO/CRE	up	GO:0055085	transmembrane transport	76	5	Clca1, ENSMUSG00000038115, Grp, Kcnk16, Slc10a6	0.06578947368421052	False
WT/FF	up	GO:2000026	regulation of multicellular organismal development	78	5	Adm2, Ccn4, Cited2, Il6, Serpine1	0.0641025641025641	False
cKO/CRE	up	GO:0031175	neuron projection development	79	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.06329113924050633	False
WT/FF	up	GO:0051094	positive regulation of developmental process	80	5	Adm2, Ccn4, Cited2, Il6, Serpine1	0.0625	False
cKO/CRE	up	GO:0048666	neuron development	84	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.05952380952380952	False
WT/FF	up	GO:0048699	generation of neurons	85	5	Ankrd1, Il6, Plppr4, Satb2, Ucn	0.058823529411764705	False
WT/FF	up	GO:0045893	positive regulation of DNA-templated transcription	86	5	Ankrd1, Cited2, Il6, Satb2, Ucn	0.05813953488372093	False
WT/FF	up	GO:1902680	positive regulation of RNA biosynthetic process	87	5	Ankrd1, Cited2, Il6, Satb2, Ucn	0.05747126436781609	False
WT/FF	up	GO:1901700	response to oxygen-containing compound	89	5	Ankrd1, Il6, Serpine1, Ucn, Vgf	0.056179775280898875	False
cKO/CRE	up	GO:0042127	regulation of cell population proliferation	91	5	Cckbr, ENSMUSG00000067006, Fgf3, Il6, Slamf1	0.054945054945054944	False
WT/FF	up	GO:0051254	positive regulation of RNA metabolic process	92	5	Ankrd1, Cited2, Il6, Satb2, Ucn	0.05434782608695652	False
cKO/CRE	up	GO:0016192	vesicle-mediated transport	92	5	Gpr151, Grp, Rin1, Serpine1, Slamf1	0.05434782608695652	False
WT/FF	up	GO:0141124	intracellular signaling cassette	99	5	Cckbr, Dusp9, Il6, Slamf1, Ucn	0.050505050505050504	False
WT/FF	up	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	101	5	Ankrd1, Cited2, Il6, Satb2, Ucn	0.04950495049504951	False
cKO/CRE	up	GO:0030030	cell projection organization	102	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.049019607843137254	False
cKO/CRE	up	GO:0030182	neuron differentiation	102	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.049019607843137254	False
cKO/CRE	up	GO:0120036	plasma membrane bounded cell projection organization	102	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.049019607843137254	False
WT/FF	up	GO:0022008	neurogenesis	103	5	Ankrd1, Il6, Plppr4, Satb2, Ucn	0.04854368932038835	False
cKO/CRE	up	GO:0048699	generation of neurons	103	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.04854368932038835	False
cKO/CRE	up	GO:0009719	response to endogenous stimulus	105	5	Ankrd1, Fgf3, Il6, Ucn, Vgf	0.047619047619047616	False
cKO/CRE	up	GO:1901700	response to oxygen-containing compound	106	5	Ankrd1, Il6, Serpine1, Ucn, Vgf	0.04716981132075472	False
cKO/CRE	up	GO:0141124	intracellular signaling cassette	111	5	Cckbr, Dusp9, Il6, Slamf1, Ucn	0.04504504504504504	False
cKO/CRE	up	GO:0008283	cell population proliferation	113	5	Cckbr, ENSMUSG00000067006, Fgf3, Il6, Slamf1	0.04424778761061947	False
cKO/CRE	up	GO:0051246	regulation of protein metabolic process	116	5	ENSMUSG00000030223, Il6, Plaur, Serpine1, Ucn	0.04310344827586207	False
cKO/CRE	up	GO:0010558	negative regulation of macromolecule biosynthetic process	117	5	Ankrd1, Il6, Serpine1, Slamf1, Ucn	0.042735042735042736	False
cKO/CRE	up	GO:0009890	negative regulation of biosynthetic process	121	5	Ankrd1, Il6, Serpine1, Slamf1, Ucn	0.04132231404958678	False
cKO/CRE	up	GO:0022008	neurogenesis	123	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.04065040650406504	False
WT/FF	up	GO:0033036	macromolecule localization	124	5	Ankrd1, Il6, Plppr4, Slc10a6, Vgf	0.04032258064516129	False
WT/FF	up	GO:0051641	cellular localization	143	5	Ankrd1, Gpr151, Grp, Il6, Vgf	0.03496503496503497	False
cKO/CRE	up	GO:0006793	phosphorus metabolic process	145	5	Dusp9, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.034482758620689655	False
cKO/CRE	up	GO:0006796	phosphate-containing compound metabolic process	145	5	Dusp9, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.034482758620689655	False
cKO/CRE	up	GO:0007399	nervous system development	155	5	Ankrd1, ENSMUSG00000030223, Il6, Plppr4, Ucn	0.03225806451612903	False
WT/FF	up	GO:0046883	regulation of hormone secretion	21	4	Cckbr, Grp, Il6, Ucn	0.19047619047619047	False
WT/FF	up	GO:1903532	positive regulation of secretion by cell	26	4	Ankrd1, Cckbr, Grp, Ucn	0.15384615384615385	False
WT/FF	up	GO:0051047	positive regulation of secretion	27	4	Ankrd1, Cckbr, Grp, Ucn	0.14814814814814814	False
cKO/CRE	up	GO:1903532	positive regulation of secretion by cell	28	4	Ankrd1, Cckbr, Grp, Ucn	0.14285714285714285	False
cKO/CRE	up	GO:0009306	protein secretion	29	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	0.13793103448275862	False
cKO/CRE	up	GO:0035592	establishment of protein localization to extracellular region	29	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	0.13793103448275862	False
cKO/CRE	up	GO:0051047	positive regulation of secretion	29	4	Ankrd1, Cckbr, Grp, Ucn	0.13793103448275862	False
cKO/CRE	up	GO:0071692	protein localization to extracellular region	29	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	0.13793103448275862	False
WT/FF	up	GO:0001819	positive regulation of cytokine production	33	4	Il6, Serpine1, Slamf1, Ucn	0.12121212121212122	False
cKO/CRE	up	GO:0031349	positive regulation of defense response	33	4	Cckbr, Grp, Serpine1, Ucn	0.12121212121212122	False
cKO/CRE	up	GO:0001819	positive regulation of cytokine production	35	4	Il6, Serpine1, Slamf1, Ucn	0.11428571428571428	False
cKO/CRE	up	GO:0048729	tissue morphogenesis	40	4	Ankrd1, ENSMUSG00000067006, Il6, Krt6a	0.1	False
WT/FF	up	GO:0000165	MAPK cascade	41	4	Cckbr, Dusp9, Il6, Slamf1	0.0975609756097561	False
WT/FF	up	GO:0030097	hemopoiesis	46	4	Ccn4, Cited2, Il6, Slamf1	0.08695652173913043	False
cKO/CRE	up	GO:0000165	MAPK cascade	46	4	Cckbr, Dusp9, Il6, Slamf1	0.08695652173913043	False
WT/FF	up	GO:0006954	inflammatory response	47	4	Ccn4, Il6, Serpine1, Slamf1	0.0851063829787234	False
cKO/CRE	up	GO:0001816	cytokine production	50	4	Il6, Serpine1, Slamf1, Ucn	0.08	False
cKO/CRE	up	GO:0001817	regulation of cytokine production	50	4	Il6, Serpine1, Slamf1, Ucn	0.08	False
WT/FF	up	GO:0071363	cellular response to growth factor stimulus	51	4	Ankrd1, Cited2, Fgf3, Il6	0.0784313725490196	False
cKO/CRE	up	GO:0030155	regulation of cell adhesion	51	4	Il6, Plaur, Serpine1, Slamf1	0.0784313725490196	False
WT/FF	up	GO:0033993	response to lipid	52	4	Ankrd1, Il6, Serpine1, Ucn	0.07692307692307693	False
WT/FF	up	GO:0070848	response to growth factor	53	4	Ankrd1, Cited2, Fgf3, Il6	0.07547169811320754	False
WT/FF	up	GO:0022603	regulation of anatomical structure morphogenesis	54	4	Adm2, Cited2, Il6, Serpine1	0.07407407407407407	False
WT/FF	up	GO:0009790	embryo development	56	4	Cited2, Hmx3, Satb2, Tm4sf1	0.07142857142857142	False
WT/FF	up	GO:0035295	tube development	56	4	Adm2, Cckbr, Cited2, Serpine1	0.07142857142857142	False
cKO/CRE	up	GO:0006954	inflammatory response	56	4	ENSMUSG00000025279, Il6, Serpine1, Slamf1	0.07142857142857142	False
WT/FF	up	GO:0048646	anatomical structure formation involved in morphogenesis	58	4	Adm2, Cited2, Serpine1, Tm4sf1	0.06896551724137931	False
WT/FF	up	GO:0051130	positive regulation of cellular component organization	58	4	Ankrd1, Il6, Plaur, Serpine1	0.06896551724137931	False
WT/FF	up	GO:0030334	regulation of cell migration	59	4	Ccn4, Cited2, Serpine1, Slamf1	0.06779661016949153	False
WT/FF	up	GO:0032101	regulation of response to external stimulus	59	4	Ccn4, Plaur, Serpine1, Slamf1	0.06779661016949153	False
WT/FF	up	GO:2000145	regulation of cell motility	61	4	Ccn4, Cited2, Serpine1, Slamf1	0.06557377049180328	False
WT/FF	up	GO:0031175	neuron projection development	62	4	Ankrd1, Il6, Plppr4, Ucn	0.06451612903225806	False
WT/FF	up	GO:0040012	regulation of locomotion	63	4	Ccn4, Cited2, Serpine1, Slamf1	0.06349206349206349	False
cKO/CRE	up	GO:1902533	positive regulation of intracellular signal transduction	63	4	Ankrd1, Il6, Slamf1, Ucn	0.06349206349206349	False
WT/FF	up	GO:0055085	transmembrane transport	65	4	Clca1, Grp, Kcnk16, Slc10a6	0.06153846153846154	False
cKO/CRE	up	GO:0140546	defense response to symbiont	65	4	Bpifc, ENSMUSG00000076434, Krt6a, Slamf1	0.06153846153846154	False
WT/FF	up	GO:0040011	locomotion	67	4	Ccn4, Cited2, Serpine1, Slamf1	0.05970149253731343	False
WT/FF	up	GO:0048666	neuron development	67	4	Ankrd1, Il6, Plppr4, Ucn	0.05970149253731343	False
WT/FF	up	GO:0071495	cellular response to endogenous stimulus	69	4	Ankrd1, Cited2, Fgf3, Il6	0.057971014492753624	False
WT/FF	up	GO:0045944	positive regulation of transcription by RNA polymerase II	71	4	Cited2, Il6, Satb2, Ucn	0.056338028169014086	False
cKO/CRE	up	GO:0043066	negative regulation of apoptotic process	71	4	Il6, Plaur, Serpine1, Ucn	0.056338028169014086	False
cKO/CRE	up	GO:0032101	regulation of response to external stimulus	73	4	ENSMUSG00000025279, Plaur, Serpine1, Slamf1	0.0547945205479452	False
cKO/CRE	up	GO:0043069	negative regulation of programmed cell death	73	4	Il6, Plaur, Serpine1, Ucn	0.0547945205479452	False
cKO/CRE	up	GO:0072359	circulatory system development	73	4	Adm2, Ankrd1, Fgf3, Serpine1	0.0547945205479452	False
cKO/CRE	up	GO:0007155	cell adhesion	75	4	Il6, Plaur, Serpine1, Slamf1	0.05333333333333334	False
cKO/CRE	up	GO:0051130	positive regulation of cellular component organization	77	4	Ankrd1, Il6, Plaur, Serpine1	0.05194805194805195	False
WT/FF	up	GO:0030030	cell projection organization	79	4	Ankrd1, Il6, Plppr4, Ucn	0.05063291139240506	False
WT/FF	up	GO:0120036	plasma membrane bounded cell projection organization	79	4	Ankrd1, Il6, Plppr4, Ucn	0.05063291139240506	False
cKO/CRE	up	GO:0006508	proteolysis	79	4	Clca1, Ecel1, Plaur, Serpine1	0.05063291139240506	False
WT/FF	up	GO:0030182	neuron differentiation	83	4	Ankrd1, Il6, Plppr4, Ucn	0.04819277108433735	False
WT/FF	up	GO:0051246	regulation of protein metabolic process	86	4	Il6, Plaur, Serpine1, Ucn	0.046511627906976744	False
cKO/CRE	up	GO:0015031	protein transport	92	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	0.043478260869565216	False
cKO/CRE	up	GO:0002682	regulation of immune system process	93	4	ENSMUSG00000025279, Il6, Serpine1, Slamf1	0.043010752688172046	False
cKO/CRE	up	GO:0016477	cell migration	106	4	ENSMUSG00000030223, Serpine1, Slamf1, Zpld2	0.03773584905660377	False
cKO/CRE	up	GO:0045184	establishment of protein localization	107	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	0.037383177570093455	False
cKO/CRE	up	GO:0048870	cell motility	107	4	ENSMUSG00000030223, Serpine1, Slamf1, Zpld2	0.037383177570093455	False
WT/FF	up	GO:0006793	phosphorus metabolic process	110	4	Dusp9, Il6, Plppr4, Ucn	0.03636363636363636	False
WT/FF	up	GO:0006796	phosphate-containing compound metabolic process	110	4	Dusp9, Il6, Plppr4, Ucn	0.03636363636363636	False
cKO/CRE	up	GO:0051649	establishment of localization in cell	123	4	ENSMUSG00000038115, Gpr151, Grp, Il6	0.032520325203252036	False
cKO/CRE	up	GO:0008104	protein localization	146	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	0.0273972602739726	False
cKO/CRE	up	GO:0036211	protein modification process	149	4	Dusp9, ENSMUSG00000030223, Il6, Ucn	0.026845637583892617	False
cKO/CRE	up	GO:0070727	cellular macromolecule localization	149	4	Ankrd1, ENSMUSG00000051209, Il6, Vgf	0.026845637583892617	False
cKO/CRE	up	GO:0043412	macromolecule modification	154	4	Dusp9, ENSMUSG00000030223, Il6, Ucn	0.025974025974025976	False
cKO/CRE	up	GO:0050793	regulation of developmental process	155	4	Adm2, Fgf3, Il6, Serpine1	0.025806451612903226	False
WT/FF	up	GO:0071219	cellular response to molecule of bacterial origin	21	3	Ankrd1, Il6, Serpine1	0.14285714285714285	False
WT/FF	up	GO:0071222	cellular response to lipopolysaccharide	21	3	Ankrd1, Il6, Serpine1	0.14285714285714285	False
WT/FF	up	GO:0071216	cellular response to biotic stimulus	22	3	Ankrd1, Il6, Serpine1	0.13636363636363635	False
cKO/CRE	up	GO:0043588	skin development	24	3	2210017I01Rik, Krt6a, Lce1g	0.125	False
WT/FF	up	GO:0009306	protein secretion	26	3	Ankrd1, Il6, Vgf	0.11538461538461539	False
WT/FF	up	GO:0035592	establishment of protein localization to extracellular region	26	3	Ankrd1, Il6, Vgf	0.11538461538461539	False
WT/FF	up	GO:0071692	protein localization to extracellular region	26	3	Ankrd1, Il6, Vgf	0.11538461538461539	False
cKO/CRE	up	GO:0071216	cellular response to biotic stimulus	26	3	Ankrd1, Il6, Serpine1	0.11538461538461539	False
WT/FF	up	GO:0051051	negative regulation of transport	27	3	Grp, Il6, Ucn	0.1111111111111111	False
WT/FF	up	GO:0002237	response to molecule of bacterial origin	28	3	Ankrd1, Il6, Serpine1	0.10714285714285714	False
WT/FF	up	GO:0032496	response to lipopolysaccharide	28	3	Ankrd1, Il6, Serpine1	0.10714285714285714	False
WT/FF	up	GO:0048568	embryonic organ development	28	3	Cited2, Hmx3, Satb2	0.10714285714285714	False
WT/FF	up	GO:0001503	ossification	29	3	Ccn4, Grp, Satb2	0.10344827586206896	False
cKO/CRE	up	GO:0016055	Wnt signaling pathway	30	3	ENSMUSG00000030223, Krt6a, Tmem88b	0.1	False
WT/FF	up	GO:0043408	regulation of MAPK cascade	33	3	Dusp9, Il6, Slamf1	0.09090909090909091	False
WT/FF	up	GO:0060627	regulation of vesicle-mediated transport	33	3	Gpr151, Serpine1, Slamf1	0.09090909090909091	False
WT/FF	up	GO:0048514	blood vessel morphogenesis	34	3	Adm2, Cited2, Serpine1	0.08823529411764706	False
WT/FF	up	GO:0030335	positive regulation of cell migration	35	3	Ccn4, Serpine1, Slamf1	0.08571428571428572	False
WT/FF	up	GO:0032103	positive regulation of response to external stimulus	35	3	Ccn4, Serpine1, Slamf1	0.08571428571428572	False
WT/FF	up	GO:2000147	positive regulation of cell motility	35	3	Ccn4, Serpine1, Slamf1	0.08571428571428572	False
WT/FF	up	GO:0040008	regulation of growth	36	3	Ccn4, Cited2, Ucn	0.08333333333333333	False
WT/FF	up	GO:0040017	positive regulation of locomotion	36	3	Ccn4, Serpine1, Slamf1	0.08333333333333333	False
WT/FF	up	GO:0048598	embryonic morphogenesis	37	3	Cited2, Hmx3, Satb2	0.08108108108108109	False
WT/FF	up	GO:0001568	blood vessel development	38	3	Adm2, Cited2, Serpine1	0.07894736842105263	False
cKO/CRE	up	GO:0043408	regulation of MAPK cascade	38	3	Dusp9, Il6, Slamf1	0.07894736842105263	False
